"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"福井県","吉田郡永平寺町","18,998","1,145","6.0%"
"福井県","今立郡池田町","2,714","203","7.5%"
"福井県","南条郡南越前町","11,017","851","7.7%"
"福井県","丹生郡越前町","22,390","1,245","5.6%"
"福井県","三方郡美浜町","9,867","773","7.8%"
"福井県","大飯郡高浜町","10,682","725","6.8%"
"福井県","大飯郡おおい町","8,367","641","7.7%"
"福井県","三方上中郡若狭町","15,466","890","5.8%"
"山梨県","甲府市","191,673","16,123","8.4%"
"山梨県","富士吉田市","50,046","4,800","9.6%"
"山梨県","都留市","31,081","2,262","7.3%"
"山梨県","山梨市","35,871","2,372","6.6%"
"山梨県","大月市","25,483","2,546","10.0%"
"山梨県","韮崎市","30,298","2,010","6.6%"
"山梨県","南アルプス市","72,236","4,842","6.7%"
"山梨県","北杜市","47,780","4,862","10.2%"
"山梨県","甲斐市","75,373","6,134","8.1%"
"山梨県","笛吹市","70,421","5,273","7.5%"
"山梨県","上野原市","24,154","2,021","8.4%"
"山梨県","甲州市","32,886","3,132","9.5%"
"山梨県","中央市","30,966","3,501","11.3%"
"山梨県","西八代郡市川三郷町","16,366","1,074","6.6%"
"山梨県","南巨摩郡早川町","1,121","136","12.1%"
"山梨県","南巨摩郡身延町","12,738","1,626","12.8%"
"山梨県","南巨摩郡南部町","8,195","769","9.4%"
"山梨県","南巨摩郡富士川町","15,668","1,147","7.3%"
"山梨県","中巨摩郡昭和町","19,728","1,375","7.0%"
"山梨県","南都留郡道志村","1,758","139","7.9%"
"山梨県","南都留郡西桂町","4,460","334","7.5%"
"山梨県","南都留郡忍野村","9,503","993","10.4%"
"山梨県","南都留郡山中湖村","5,846","540","9.2%"
"山梨県","南都留郡鳴沢村","3,172","238","7.5%"
"山梨県","南都留郡富士河口湖町","26,555","2,195","8.3%"
"山梨県","北都留郡小菅村","740","65","8.8%"
"山梨県","北都留郡丹波山村","599","46","7.7%"
"長野県","長野市","382,001","32,758","8.6%"
"長野県","松本市","241,272","20,517","8.5%"
"長野県","上田市","159,271","15,049","9.4%"
"長野県","岡谷市","50,853","4,457","8.8%"
"長野県","飯田市","103,507","8,022","7.8%"
"長野県","諏訪市","50,428","5,811","11.5%"
"長野県","須坂市","51,368","3,357","6.5%"
"長野県","小諸市","42,954","3,725","8.7%"
"長野県","伊那市","69,059","5,227","7.6%"
"長野県","駒ヶ根市","33,207","2,600","7.8%"
"長野県","中野市","45,361","3,183","7.0%"
"長野県","大町市","28,476","2,393","8.4%"
"長野県","飯山市","21,847","1,539","7.0%"
"長野県","茅野市","56,101","4,891","8.7%"
"長野県","塩尻市","67,534","5,410","8.0%"
"長野県","佐久市","99,497","8,647","8.7%"
"長野県","千曲市","61,356","4,885","8.0%"
"長野県","東御市","30,586","2,153","7.0%"
