"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"千葉県","佐倉市","176,744","15,644","8.9%"
"千葉県","東金市","60,124","7,132","11.9%"
"千葉県","旭市","67,267","5,296","7.9%"
"千葉県","習志野市","171,861","20,693","12.0%"
"千葉県","柏市","412,690","44,823","10.9%"
"千葉県","勝浦市","18,514","2,126","11.5%"
"千葉県","市原市","279,093","30,572","11.0%"
"千葉県","流山市","180,637","20,012","11.1%"
"千葉県","八千代市","195,933","24,657","12.6%"
"千葉県","我孫子市","132,619","16,694","12.6%"
"千葉県","鴨川市","33,984","3,908","11.5%"
"千葉県","鎌ケ谷市","109,480","13,091","12.0%"
"千葉県","君津市","86,552","10,211","11.8%"
"千葉県","富津市","45,972","4,094","8.9%"
"千葉県","浦安市","166,551","21,754","13.1%"
"千葉県","四街道市","92,337","12,032","13.0%"
"千葉県","袖ケ浦市","62,306","6,433","10.3%"
"千葉県","八街市","72,006","8,177","11.4%"
"千葉県","印西市","97,263","10,353","10.6%"
"千葉県","白井市","63,345","7,289","11.5%"
"千葉県","富里市","50,127","5,532","11.0%"
"千葉県","南房総市","39,733","4,565","11.5%"
"千葉県","匝瑳市","37,709","3,278","8.7%"
"千葉県","香取市","78,982","7,604","9.6%"
"千葉県","山武市","53,435","5,380","10.1%"
"千葉県","いすみ市","39,360","4,076","10.4%"
"千葉県","大網白里市","50,192","6,368","12.7%"
"千葉県","印旛郡酒々井町","21,120","2,634","12.5%"
"千葉県","印旛郡栄町","21,269","2,944","13.8%"
"千葉県","香取郡神崎町","6,256","722","11.5%"
"千葉県","香取郡多古町","15,046","1,233","8.2%"
"千葉県","香取郡東庄町","14,457","1,015","7.0%"
"千葉県","山武郡九十九里町","16,737","1,520","9.1%"
"千葉県","山武郡芝山町","7,507","831","11.1%"
"千葉県","山武郡横芝光町","24,465","2,241","9.2%"
"千葉県","長生郡一宮町","12,416","1,153","9.3%"
"千葉県","長生郡睦沢町","7,245","628","8.7%"
"千葉県","長生郡長生村","14,646","1,434","9.8%"
"千葉県","長生郡白子町","11,675","1,046","9.0%"
"千葉県","長生郡長柄町","7,254","718","9.9%"
"千葉県","長生郡長南町","8,389","779","9.3%"
"千葉県","夷隅郡大多喜町","9,561","777","8.1%"
"千葉県","夷隅郡御宿町","7,713","1,185","15.4%"
"千葉県","安房郡鋸南町","8,233","989","12.0%"
"東京都","千代田区","59,788","8,707","14.6%"
"東京都","中央区","149,640","24,337","16.3%"
"東京都","港区","249,242","41,741","16.7%"
"東京都","新宿区","338,488","44,872","13.3%"
"東京都","文京区","213,969","28,256","13.2%"
"東京都","台東区","193,822","30,972","16.0%"
"東京都","墨田区","265,238","32,501","12.3%"
"東京都","江東区","506,511","68,729","13.6%"
"東京都","品川区","382,761","50,381","13.2%"
