"区分","","人口
（H29.1.1時点）","交付枚数
（H29.8.31時点）","人口に対する交付枚数率"
"全国","","127,907,086","12,301,592","9.6%"
"","特別区","9,302,962","1,128,216","12.1%"
"","政令指定都市","27,394,218","2,853,467","10.4%"
"","市（政令指定都市を除く）","80,061,226","7,409,990","9.3%"
"","町村","11,148,680","909,919","8.2%"
