"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"兵庫県","赤穂市","49,616","5,194","10.5%"
"兵庫県","西脇市","42,082","2,661","6.3%"
"兵庫県","宝塚市","233,962","22,162","9.5%"
"兵庫県","三木市","79,282","8,594","10.8%"
"兵庫県","高砂市","93,356","9,099","9.7%"
"兵庫県","川西市","160,154","20,285","12.7%"
"兵庫県","小野市","49,319","3,594","7.3%"
"兵庫県","三田市","113,996","10,050","8.8%"
"兵庫県","加西市","45,345","3,278","7.2%"
"兵庫県","篠山市","42,948","2,919","6.8%"
"兵庫県","養父市","25,139","2,034","8.1%"
"兵庫県","丹波市","66,858","4,417","6.6%"
"兵庫県","南あわじ市","49,265","2,779","5.6%"
"兵庫県","朝来市","31,854","2,218","7.0%"
"兵庫県","淡路市","45,840","3,567","7.8%"
"兵庫県","宍粟市","40,061","3,019","7.5%"
"兵庫県","加東市","39,974","5,090","12.7%"
"兵庫県","たつの市","78,812","7,130","9.0%"
"兵庫県","川辺郡猪名川町","31,731","3,854","12.1%"
"兵庫県","多可郡多可町","22,016","1,562","7.1%"
"兵庫県","加古郡稲美町","31,630","3,139","9.9%"
"兵庫県","加古郡播磨町","34,732","5,486","15.8%"
"兵庫県","神崎郡市川町","12,854","1,071","8.3%"
"兵庫県","神崎郡福崎町","19,568","1,078","5.5%"
"兵庫県","神崎郡神河町","11,981","1,168","9.7%"
"兵庫県","揖保郡太子町","34,434","3,607","10.5%"
"兵庫県","赤穂郡上郡町","15,815","1,848","11.7%"
"兵庫県","佐用郡佐用町","18,152","1,233","6.8%"
"兵庫県","美方郡香美町","19,096","1,553","8.1%"
"兵庫県","美方郡新温泉町","15,451","1,091","7.1%"
"奈良県","奈良市","362,074","35,359","9.8%"
"奈良県","大和高田市","67,496","5,797","8.6%"
"奈良県","大和郡山市","88,268","11,234","12.7%"
"奈良県","天理市","67,238","6,967","10.4%"
"奈良県","橿原市","124,113","20,666","16.7%"
"奈良県","桜井市","59,045","4,477","7.6%"
"奈良県","五條市","32,576","2,339","7.2%"
"奈良県","御所市","27,466","2,423","8.8%"
"奈良県","生駒市","120,944","17,883","14.8%"
"奈良県","香芝市","78,512","7,260","9.2%"
"奈良県","葛城市","37,062","2,744","7.4%"
"奈良県","宇陀市","32,290","2,822","8.7%"
"奈良県","山辺郡山添村","3,812","200","5.2%"
"奈良県","生駒郡平群町","19,407","1,916","9.9%"
"奈良県","生駒郡三郷町","23,260","2,263","9.7%"
"奈良県","生駒郡斑鳩町","28,259","3,041","10.8%"
"奈良県","生駒郡安堵町","7,639","642","8.4%"
"奈良県","磯城郡川西町","8,736","700","8.0%"
"奈良県","磯城郡三宅町","7,095","526","7.4%"
"奈良県","磯城郡田原本町","32,524","2,818","8.7%"
"奈良県","宇陀郡曽爾村","1,581","94","5.9%"
"奈良県","宇陀郡御杖村","1,805","137","7.6%"
"奈良県","高市郡高取町","7,145","622","8.7%"
