"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"宮崎県","東諸県郡綾町","7,558","537","7.1%"
"宮崎県","児湯郡高鍋町","20,919","1,954","9.3%"
"宮崎県","児湯郡新富町","17,791","1,500","8.4%"
"宮崎県","児湯郡西米良村","1,209","114","9.4%"
"宮崎県","児湯郡木城町","5,350","431","8.1%"
"宮崎県","児湯郡川南町","16,128","1,958","12.1%"
"宮崎県","児湯郡都農町","10,818","1,018","9.4%"
"宮崎県","東臼杵郡門川町","18,437","1,228","6.7%"
"宮崎県","東臼杵郡諸塚村","1,835","104","5.7%"
"宮崎県","東臼杵郡椎葉村","2,945","177","6.0%"
"宮崎県","東臼杵郡美郷町","5,790","521","9.0%"
"宮崎県","西臼杵郡高千穂町","12,771","911","7.1%"
"宮崎県","西臼杵郡日之影町","4,183","239","5.7%"
"宮崎県","西臼杵郡五ヶ瀬町","4,083","232","5.7%"
"鹿児島県","鹿児島市","606,706","55,742","9.2%"
"鹿児島県","鹿屋市","104,650","10,452","10.0%"
"鹿児島県","枕崎市","22,192","2,280","10.3%"
"鹿児島県","阿久根市","21,533","2,130","9.9%"
"鹿児島県","出水市","54,667","5,256","9.6%"
"鹿児島県","指宿市","42,238","3,903","9.2%"
"鹿児島県","西之表市","15,924","2,920","18.3%"
"鹿児島県","垂水市","15,620","1,191","7.6%"
"鹿児島県","薩摩川内市","97,056","10,978","11.3%"
"鹿児島県","日置市","49,858","5,506","11.0%"
"鹿児島県","曽於市","37,633","2,662","7.1%"
"鹿児島県","霧島市","126,620","11,869","9.4%"
"鹿児島県","いちき串木野市","28,916","2,715","9.4%"
"鹿児島県","南さつま市","35,473","2,919","8.2%"
"鹿児島県","志布志市","32,415","2,024","6.2%"
"鹿児島県","奄美市","44,250","5,120","11.6%"
"鹿児島県","南九州市","36,605","2,799","7.6%"
"鹿児島県","伊佐市","27,070","2,611","9.6%"
"鹿児島県","姶良市","76,680","6,910","9.0%"
"鹿児島県","鹿児島郡三島村","379","31","8.2%"
"鹿児島県","鹿児島郡十島村","719","51","7.1%"
"鹿児島県","薩摩郡さつま町","22,219","1,717","7.7%"
"鹿児島県","出水郡長島町","10,793","872","8.1%"
"鹿児島県","姶良郡湧水町","9,834","793","8.1%"
"鹿児島県","曽於郡大崎町","13,622","943","6.9%"
"鹿児島県","肝属郡東串良町","6,804","410","6.0%"
"鹿児島県","肝属郡錦江町","8,022","416","5.2%"
"鹿児島県","肝属郡南大隅町","7,757","543","7.0%"
"鹿児島県","肝属郡肝付町","16,120","1,091","6.8%"
"鹿児島県","熊毛郡中種子町","8,272","847","10.2%"
"鹿児島県","熊毛郡南種子町","5,767","525","9.1%"
"鹿児島県","熊毛郡屋久島町","12,965","1,484","11.4%"
"鹿児島県","大島郡大和村","1,541","158","10.3%"
"鹿児島県","大島郡宇検村","1,759","244","13.9%"
"鹿児島県","大島郡瀬戸内町","9,133","1,001","11.0%"
"鹿児島県","大島郡龍郷町","6,047","584","9.7%"
"鹿児島県","大島郡喜界町","7,358","761","10.3%"
"鹿児島県","大島郡徳之島町","11,283","915","8.1%"
"鹿児島県","大島郡天城町","6,182","533","8.6%"
