"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"宮城県","富谷市","52,526","4,847","9.2%"
"宮城県","刈田郡蔵王町","12,448","920","7.4%"
"宮城県","刈田郡七ヶ宿町","1,502","203","13.5%"
"宮城県","柴田郡大河原町","23,624","2,251","9.5%"
"宮城県","柴田郡村田町","11,412","950","8.3%"
"宮城県","柴田郡柴田町","38,299","3,996","10.4%"
"宮城県","柴田郡川崎町","9,086","557","6.1%"
"宮城県","伊具郡丸森町","14,244","1,182","8.3%"
"宮城県","亘理郡亘理町","34,026","3,288","9.7%"
"宮城県","亘理郡山元町","12,484","1,129","9.0%"
"宮城県","宮城郡松島町","14,663","1,693","11.5%"
"宮城県","宮城郡七ヶ浜町","19,196","1,532","8.0%"
"宮城県","宮城郡利府町","36,287","3,973","10.9%"
"宮城県","黒川郡大和町","28,686","2,514","8.8%"
"宮城県","黒川郡大郷町","8,380","480","5.7%"
"宮城県","黒川郡大衡村","5,877","442","7.5%"
"宮城県","加美郡色麻町","7,137","453","6.3%"
"宮城県","加美郡加美町","24,212","1,508","6.2%"
"宮城県","遠田郡涌谷町","16,768","1,091","6.5%"
"宮城県","遠田郡美里町","24,975","2,266","9.1%"
"宮城県","牡鹿郡女川町","6,735","547","8.1%"
"宮城県","本吉郡南三陸町","13,529","1,134","8.4%"
"秋田県","秋田市","314,869","30,205","9.6%"
"秋田県","能代市","55,248","4,495","8.1%"
"秋田県","横手市","93,243","6,185","6.6%"
"秋田県","大館市","74,705","6,023","8.1%"
"秋田県","男鹿市","29,046","1,929","6.6%"
"秋田県","湯沢市","47,083","2,900","6.2%"
"秋田県","鹿角市","32,199","2,651","8.2%"
"秋田県","由利本荘市","79,657","5,772","7.2%"
"秋田県","潟上市","33,486","2,490","7.4%"
"秋田県","大仙市","84,122","6,019","7.2%"
"秋田県","北秋田市","33,505","2,391","7.1%"
"秋田県","にかほ市","25,554","1,676","6.6%"
"秋田県","仙北市","27,533","2,175","7.9%"
"秋田県","鹿角郡小坂町","5,366","469","8.7%"
"秋田県","北秋田郡上小阿仁村","2,444","191","7.8%"
"秋田県","山本郡藤里町","3,501","316","9.0%"
"秋田県","山本郡三種町","17,423","1,141","6.5%"
"秋田県","山本郡八峰町","7,525","425","5.6%"
"秋田県","南秋田郡五城目町","9,776","676","6.9%"
"秋田県","南秋田郡八郎潟町","6,114","439","7.2%"
"秋田県","南秋田郡井川町","4,953","237","4.8%"
"秋田県","南秋田郡大潟村","3,207","256","8.0%"
"秋田県","仙北郡美郷町","20,311","1,111","5.5%"
"秋田県","雄勝郡羽後町","15,692","769","4.9%"
"秋田県","雄勝郡東成瀬村","2,634","214","8.1%"
"山形県","山形市","249,133","17,719","7.1%"
"山形県","米沢市","82,843","5,208","6.3%"
"山形県","鶴岡市","130,108","9,138","7.0%"
"山形県","酒田市","105,468","8,202","7.8%"
"山形県","新庄市","36,764","2,742","7.5%"
"山形県","寒河江市","41,661","3,106","7.5%"
