"都道府県名","市区町村名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","交付率"
"全国","","127,907,086","13,009,137","10.2%"
"鹿児島県","大島郡伊仙町","6,918","438","6.3%"
"鹿児島県","大島郡和泊町","6,843","597","8.7%"
"鹿児島県","大島郡知名町","6,221","849","13.6%"
"鹿児島県","大島郡与論町","5,339","618","11.6%"
"沖縄県","那覇市","324,157","27,284","8.4%"
"沖縄県","宜野湾市","98,151","6,454","6.6%"
"沖縄県","石垣市","49,270","4,961","10.1%"
"沖縄県","浦添市","114,337","7,215","6.3%"
"沖縄県","名護市","62,581","3,504","5.6%"
"沖縄県","糸満市","60,884","4,504","7.4%"
"沖縄県","沖縄市","141,612","11,183","7.9%"
"沖縄県","豊見城市","62,896","4,216","6.7%"
"沖縄県","うるま市","122,692","9,787","8.0%"
"沖縄県","宮古島市","54,340","4,454","8.2%"
"沖縄県","南城市","43,247","6,229","14.4%"
"沖縄県","国頭郡国頭村","4,949","405","8.2%"
"沖縄県","国頭郡大宜味村","3,161","136","4.3%"
"沖縄県","国頭郡東村","1,835","121","6.6%"
"沖縄県","国頭郡今帰仁村","9,604","413","4.3%"
"沖縄県","国頭郡本部町","13,441","781","5.8%"
"沖縄県","国頭郡恩納村","10,980","513","4.7%"
"沖縄県","国頭郡宜野座村","5,942","261","4.4%"
"沖縄県","国頭郡金武町","11,453","795","6.9%"
"沖縄県","国頭郡伊江村","4,620","487","10.5%"
"沖縄県","中頭郡読谷村","41,404","2,802","6.8%"
"沖縄県","中頭郡嘉手納町","13,722","645","4.7%"
"沖縄県","中頭郡北谷町","29,189","2,020","6.9%"
"沖縄県","中頭郡北中城村","16,804","1,033","6.1%"
"沖縄県","中頭郡中城村","20,280","1,026","5.1%"
"沖縄県","中頭郡西原町","35,146","2,064","5.9%"
"沖縄県","島尻郡与那原町","19,229","1,257","6.5%"
"沖縄県","島尻郡南風原町","37,991","2,278","6.0%"
"沖縄県","島尻郡渡嘉敷村","702","37","5.3%"
"沖縄県","島尻郡座間味村","938","122","13.0%"
"沖縄県","島尻郡粟国村","724","67","9.3%"
"沖縄県","島尻郡渡名喜村","385","33","8.6%"
"沖縄県","島尻郡南大東村","1,281","72","5.6%"
"沖縄県","島尻郡北大東村","580","127","21.9%"
"沖縄県","島尻郡伊平屋村","1,268","52","4.1%"
"沖縄県","島尻郡伊是名村","1,526","410","26.9%"
"沖縄県","島尻郡久米島町","8,101","314","3.9%"
"沖縄県","島尻郡八重瀬町","30,494","1,548","5.1%"
"沖縄県","宮古郡多良間村","1,182","53","4.5%"
"沖縄県","八重山郡竹富町","4,269","554","13.0%"
"沖縄県","八重山郡与那国町","1,704","135","7.9%"
