"算出基準日","区分","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/12/01","全国",127138033,29341772,23.1,"2020/01/01","2020/12/01"
"2020/12/01","特別区",9570609,2672897,27.9,"2020/01/01","2020/12/01"
"2020/12/01","政令指定都市",27540108,6750406,24.5,"2020/01/01","2020/12/01"
"2020/12/01","市（政令指定都市を除く）",79244110,17782943,22.4,"2020/01/01","2020/12/01"
"2020/12/01","町村",10783206,2135526,19.8,"2020/01/01","2020/12/01"
