"算出基準日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2018/07/01","全国","",127707259,14672462,11.5,"2018/01/01","2018/07/01"
"2018/07/01","","特別区",9396597,1434270,15.3,"2018/01/01","2018/07/01"
"2018/07/01","","政令指定都市",27445782,3395841,12.4,"2018/01/01","2018/07/01"
"2018/07/01","","市（政令指定都市を除く）",79815668,8790700,11.0,"2018/01/01","2018/07/01"
"2018/07/01","","町村",11049212,1051651,9.5,"2018/01/01","2018/07/01"
