"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2019/09/16","全体",62174142,65269421,127443563,9425100,8410398,17835498,15.2,12.9,14.0,100.0,100.0,100.0,"2019/01/01","2019/09/16"
"2019/09/16","0～4歳",2521289,2396069,4917358,50731,47348,98079,2.0,2.0,2.0,0.5,0.6,0.5,"2019/01/01","2019/09/16"
"2019/09/16","5～9",2732810,2597758,5330568,101634,98646,200280,3.7,3.8,3.8,1.1,1.2,1.1,"2019/01/01","2019/09/16"
"2019/09/16","10～14",2823910,2686588,5510498,99293,102855,202148,3.5,3.8,3.7,1.1,1.2,1.1,"2019/01/01","2019/09/16"
"2019/09/16","15～19",3041288,2892530,5933818,162377,169763,332140,5.3,5.9,5.6,1.7,2.0,1.9,"2019/01/01","2019/09/16"
"2019/09/16","20～24",3296677,3124747,6421424,335762,356098,691860,10.2,11.4,10.8,3.6,4.2,3.9,"2019/01/01","2019/09/16"
"2019/09/16","25～29",3310343,3124346,6434689,423716,405988,829704,12.8,13.0,12.9,4.5,4.8,4.7,"2019/01/01","2019/09/16"
"2019/09/16","30～34",3740090,3578958,7152129,485107,431660,916767,13.3,12.4,12.8,5.1,5.1,5.1,"2019/01/01","2019/09/16"
"2019/09/16","35～39",4002907,3856691,7859598,519382,428160,947542,13.0,11.1,12.1,5.5,5.1,5.3,"2019/01/01","2019/09/16"
"2019/09/16","40～44",4656293,4495779,9152072,566392,433683,1000075,12.2,9.6,10.9,6.0,5.2,5.6,"2019/01/01","2019/09/16"
"2019/09/16","45～49",4983034,4848511,9831545,645779,493916,1139695,13.0,10.2,11.6,6.9,5.9,6.4,"2019/01/01","2019/09/16"
"2019/09/16","50～54",4272064,4205832,8477896,635112,503012,1138124,14.9,12.0,13.4,6.7,6.0,6.4,"2019/01/01","2019/09/16"
"2019/09/16","55～59",3832181,3829920,7662101,675529,555915,1231444,17.6,14.5,16.1,7.2,6.6,6.9,"2019/01/01","2019/09/16"
"2019/09/16","60～64",3749568,3824988,7574556,779144,669278,1448422,20.8,17.5,19.1,8.3,8.0,8.1,"2019/01/01","2019/09/16"
"2019/09/16","65～69",4439844,4717535,9157379,962472,846480,1808952,21.7,17.9,19.8,10.2,10.1,10.1,"2019/01/01","2019/09/16"
"2019/09/16","70～74",3881182,4364234,8245416,1013519,942422,1955941,26.1,21.6,23.7,10.8,11.2,11.0,"2019/01/01","2019/09/16"
"2019/09/16","75～79",3098224,3842998,6941222,861436,865037,1726473,27.8,22.5,24.9,9.1,10.3,9.7,"2019/01/01","2019/09/16"
"2019/09/16","80～84",2147070,3089298,5236368,607145,588065,1195210,28.3,19.0,22.8,6.4,7.0,6.7,"2019/01/01","2019/09/16"
"2019/09/16","85～89",1202685,2251901,3454586,351400,329217,680617,29.2,14.6,19.7,3.7,3.9,3.8,"2019/01/01","2019/09/16"
"2019/09/16","90～94",437923,1193961,1631884,126692,116952,243644,28.9,9.8,14.9,1.3,1.4,1.4,"2019/01/01","2019/09/16"
"2019/09/16","95～99",77620,371776,449396,20591,22971,43562,26.5,6.2,9.7,0.2,0.3,0.2,"2019/01/01","2019/09/16"
"2019/09/16","100歳以上",8241,60749,68990,1887,2932,4819,22.9,4.8,7.0,0.0,0.0,0.0,"2019/01/01","2019/09/16"
