"公開日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2019/09/16","全国","",127443563,17835498,14.0,"2019/01/01","2019/09/16"
"2019/09/16","","特別区",9486618,1836731,19.4,"2019/01/01","2019/09/16"
"2019/09/16","","政令指定都市",27488569,4147817,15.1,"2019/01/01","2019/09/16"
"2019/09/16","","市（政令指定都市を除く）",79522838,10624396,13.4,"2019/01/01","2019/09/16"
"2019/09/16","","町村",10945538,1226554,11.2,"2019/01/01","2019/09/16"
