"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2022/07/31","全体",61797907,64856337,126654244,28741988,29409203,58151191,46.5,45.3,45.9,100.0,100.0,100.0,"2021/01/01","2022/07/31"
"2022/07/31","0～4歳",2368294,2253015,4621309,641308,612107,1253415,27.1,27.2,27.1,2.2,2.1,2.2,"2021/01/01","2022/07/31"
"2022/07/31","5～9",2671006,2540699,5211705,1013234,973226,1986460,37.9,38.3,38.1,3.5,3.3,3.4,"2021/01/01","2022/07/31"
"2022/07/31","10～14",2813693,2672424,5486117,1044834,1013531,2058365,37.1,37.9,37.5,3.6,3.4,3.5,"2021/01/01","2022/07/31"
"2022/07/31","15～19",2930647,2788116,5718763,1149754,1114928,2264682,39.2,40.0,39.6,4.0,3.8,3.9,"2021/01/01","2022/07/31"
"2022/07/31","20～24",3279022,3099426,6378448,1392204,1449490,2841694,42.5,46.8,44.6,4.8,4.9,4.9,"2021/01/01","2022/07/31"
"2022/07/31","25～29",3322243,3122193,6444436,1482348,1596311,3078659,44.6,51.1,47.8,5.2,5.4,5.3,"2021/01/01","2022/07/31"
"2022/07/31","30～34",3477071,3299165,6776236,1610988,1682232,3293220,46.3,51.0,48.6,5.6,5.7,5.7,"2021/01/01","2022/07/31"
"2022/07/31","35～39",3873471,3725116,7598587,1770883,1798611,3569494,45.7,48.3,47.0,6.2,6.1,6.1,"2021/01/01","2022/07/31"
"2022/07/31","40～44",4328567,4176094,8504661,1881178,1880544,3761722,43.5,45.0,44.2,6.5,6.4,6.5,"2021/01/01","2022/07/31"
"2022/07/31","45～49",5036488,4884780,9921268,2161594,2136166,4297760,42.9,43.7,43.3,7.5,7.3,7.4,"2021/01/01","2022/07/31"
"2022/07/31","50～54",4445711,4356821,8802532,2141540,2155709,4297249,48.2,49.5,48.8,7.5,7.3,7.4,"2021/01/01","2022/07/31"
"2022/07/31","55～59",4012379,3996798,8009177,1936826,1970103,3906929,48.3,49.3,48.8,6.7,6.7,6.7,"2021/01/01","2022/07/31"
"2022/07/31","60～64",3671788,3740656,7412444,1952835,1957087,3909922,53.2,52.3,52.7,6.8,6.7,6.7,"2021/01/01","2022/07/31"
"2022/07/31","65～69",3939694,4158810,8098504,1990503,1977306,3967809,50.5,47.5,49.0,6.9,6.7,6.8,"2021/01/01","2022/07/31"
"2022/07/31","70～74",4415966,4921233,9337199,2317235,2392324,4709559,52.5,48.6,50.4,8.1,8.1,8.1,"2021/01/01","2022/07/31"
"2022/07/31","75～79",3073178,3817058,6890236,1721290,1877384,3598674,56.0,49.2,52.2,6.0,6.4,6.2,"2021/01/01","2022/07/31"
"2022/07/31","80～84",2222338,3134063,5356401,1306808,1463839,2770647,58.8,46.7,51.7,4.5,5.0,4.8,"2021/01/01","2022/07/31"
"2022/07/31","85～89",1318085,2384056,3702141,800470,888965,1689435,60.7,37.3,45.6,2.8,3.0,2.9,"2021/01/01","2022/07/31"
"2022/07/31","90歳以上",598251,1785771,2384022,426156,469340,895496,71.2,26.3,37.6,1.5,1.6,1.5,"2021/01/01","2022/07/31"
