"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2022/07/31","北海道",5228732,2241435,42.9,"2021/01/01","2022/07/31"
"2022/07/31","青森県",1260067,503458,40.0,"2021/01/01","2022/07/31"
"2022/07/31","岩手県",1221205,480211,39.3,"2021/01/01","2022/07/31"
"2022/07/31","宮城県",2282106,1016153,44.5,"2021/01/01","2022/07/31"
"2022/07/31","秋田県",971604,417895,43.0,"2021/01/01","2022/07/31"
"2022/07/31","山形県",1070017,450345,42.1,"2021/01/01","2022/07/31"
"2022/07/31","福島県",1862777,755690,40.6,"2021/01/01","2022/07/31"
"2022/07/31","茨城県",2907678,1272393,43.8,"2021/01/01","2022/07/31"
"2022/07/31","栃木県",1955402,838817,42.9,"2021/01/01","2022/07/31"
"2022/07/31","群馬県",1958185,764001,39.0,"2021/01/01","2022/07/31"
"2022/07/31","埼玉県",7393849,3274642,44.3,"2021/01/01","2022/07/31"
"2022/07/31","千葉県",6322897,2973424,47.0,"2021/01/01","2022/07/31"
"2022/07/31","東京都",13843525,6874264,49.7,"2021/01/01","2022/07/31"
"2022/07/31","神奈川県",9220245,4582419,49.7,"2021/01/01","2022/07/31"
"2022/07/31","新潟県",2213353,871046,39.4,"2021/01/01","2022/07/31"
"2022/07/31","富山県",1047713,486815,46.5,"2021/01/01","2022/07/31"
"2022/07/31","石川県",1132656,526699,46.5,"2021/01/01","2022/07/31"
"2022/07/31","福井県",774596,352592,45.5,"2021/01/01","2022/07/31"
"2022/07/31","山梨県",821094,349755,42.6,"2021/01/01","2022/07/31"
"2022/07/31","長野県",2072219,822245,39.7,"2021/01/01","2022/07/31"
"2022/07/31","岐阜県",2016868,877943,43.5,"2021/01/01","2022/07/31"
"2022/07/31","静岡県",3686335,1711555,46.4,"2021/01/01","2022/07/31"
"2022/07/31","愛知県",7558872,3449317,45.6,"2021/01/01","2022/07/31"
"2022/07/31","三重県",1800756,813420,45.2,"2021/01/01","2022/07/31"
"2022/07/31","滋賀県",1418886,703154,49.6,"2021/01/01","2022/07/31"
"2022/07/31","京都府",2530609,1169380,46.2,"2021/01/01","2022/07/31"
"2022/07/31","大阪府",8839532,4149339,46.9,"2021/01/01","2022/07/31"
"2022/07/31","兵庫県",5523627,2810582,50.9,"2021/01/01","2022/07/31"
"2022/07/31","奈良県",1344952,669819,49.8,"2021/01/01","2022/07/31"
"2022/07/31","和歌山県",944750,392969,41.6,"2021/01/01","2022/07/31"
"2022/07/31","鳥取県",556959,246457,44.3,"2021/01/01","2022/07/31"
"2022/07/31","島根県",672979,304661,45.3,"2021/01/01","2022/07/31"
"2022/07/31","岡山県",1893874,850875,44.9,"2021/01/01","2022/07/31"
"2022/07/31","広島県",2812477,1309532,46.6,"2021/01/01","2022/07/31"
"2022/07/31","山口県",1356144,638967,47.1,"2021/01/01","2022/07/31"
"2022/07/31","徳島県",735070,317475,43.2,"2021/01/01","2022/07/31"
"2022/07/31","香川県",973922,436339,44.8,"2021/01/01","2022/07/31"
"2022/07/31","愛媛県",1356343,616003,45.4,"2021/01/01","2022/07/31"
"2022/07/31","高知県",701531,265583,37.9,"2021/01/01","2022/07/31"
"2022/07/31","福岡県",5124259,2377821,46.4,"2021/01/01","2022/07/31"
"2022/07/31","佐賀県",818251,375026,45.8,"2021/01/01","2022/07/31"
"2022/07/31","長崎県",1336023,593260,44.4,"2021/01/01","2022/07/31"
"2022/07/31","熊本県",1758815,794538,45.2,"2021/01/01","2022/07/31"
"2022/07/31","大分県",1141784,519647,45.5,"2021/01/01","2022/07/31"
"2022/07/31","宮崎県",1087372,646569,59.5,"2021/01/01","2022/07/31"
"2022/07/31","鹿児島県",1617850,708330,43.8,"2021/01/01","2022/07/31"
"2022/07/31","沖縄県",1485484,548331,36.9,"2021/01/01","2022/07/31"
