"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2022/09/30","北海道","札幌市",1960668,967872,49.4,"2022/01/01","2022/09/30",11002
"2022/09/30","北海道","函館市",248106,107685,43.4,"2022/01/01","2022/09/30",12025
"2022/09/30","北海道","小樽市",110426,47594,43.1,"2022/01/01","2022/09/30",12033
"2022/09/30","北海道","旭川市",327960,142865,43.6,"2022/01/01","2022/09/30",12041
"2022/09/30","北海道","室蘭市",79986,41027,51.3,"2022/01/01","2022/09/30",12050
"2022/09/30","北海道","釧路市",163110,84590,51.9,"2022/01/01","2022/09/30",12068
"2022/09/30","北海道","帯広市",165047,66788,40.5,"2022/01/01","2022/09/30",12076
"2022/09/30","北海道","北見市",114326,48352,42.3,"2022/01/01","2022/09/30",12084
"2022/09/30","北海道","夕張市",7055,2813,39.9,"2022/01/01","2022/09/30",12092
"2022/09/30","北海道","岩見沢市",78112,35703,45.7,"2022/01/01","2022/09/30",12106
"2022/09/30","北海道","網走市",34016,13685,40.2,"2022/01/01","2022/09/30",12114
"2022/09/30","北海道","留萌市",19739,9484,48.0,"2022/01/01","2022/09/30",12122
"2022/09/30","北海道","苫小牧市",169528,82337,48.6,"2022/01/01","2022/09/30",12131
"2022/09/30","北海道","稚内市",32280,15851,49.1,"2022/01/01","2022/09/30",12149
"2022/09/30","北海道","美唄市",20001,8377,41.9,"2022/01/01","2022/09/30",12157
"2022/09/30","北海道","芦別市",12430,5682,45.7,"2022/01/01","2022/09/30",12165
"2022/09/30","北海道","江別市",119701,52435,43.8,"2022/01/01","2022/09/30",12173
"2022/09/30","北海道","赤平市",9368,4246,45.3,"2022/01/01","2022/09/30",12181
"2022/09/30","北海道","紋別市",20928,7896,37.7,"2022/01/01","2022/09/30",12190
"2022/09/30","北海道","士別市",17676,8335,47.2,"2022/01/01","2022/09/30",12203
"2022/09/30","北海道","名寄市",26663,12302,46.1,"2022/01/01","2022/09/30",12211
"2022/09/30","北海道","三笠市",7930,4009,50.6,"2022/01/01","2022/09/30",12220
"2022/09/30","北海道","根室市",24231,9997,41.3,"2022/01/01","2022/09/30",12238
"2022/09/30","北海道","千歳市",97716,58270,59.6,"2022/01/01","2022/09/30",12246
"2022/09/30","北海道","滝川市",38780,20799,53.6,"2022/01/01","2022/09/30",12254
"2022/09/30","北海道","砂川市",16169,8399,51.9,"2022/01/01","2022/09/30",12262
"2022/09/30","北海道","歌志内市",2916,1135,38.9,"2022/01/01","2022/09/30",12271
"2022/09/30","北海道","深川市",19658,7701,39.2,"2022/01/01","2022/09/30",12289
"2022/09/30","北海道","富良野市",20617,9337,45.3,"2022/01/01","2022/09/30",12297
"2022/09/30","北海道","登別市",46135,22302,48.3,"2022/01/01","2022/09/30",12301
"2022/09/30","北海道","恵庭市",70108,36598,52.2,"2022/01/01","2022/09/30",12319
"2022/09/30","北海道","伊達市",32901,15584,47.4,"2022/01/01","2022/09/30",12335
"2022/09/30","北海道","北広島市",57767,24867,43.0,"2022/01/01","2022/09/30",12343
"2022/09/30","北海道","石狩市",58096,25561,44.0,"2022/01/01","2022/09/30",12351
"2022/09/30","北海道","北斗市",45025,18914,42.0,"2022/01/01","2022/09/30",12360
"2022/09/30","北海道","石狩郡当別町",15445,6350,41.1,"2022/01/01","2022/09/30",13030
"2022/09/30","北海道","石狩郡新篠津村",2913,1138,39.1,"2022/01/01","2022/09/30",13048
"2022/09/30","北海道","松前郡松前町",6445,3546,55.0,"2022/01/01","2022/09/30",13315
"2022/09/30","北海道","松前郡福島町",3702,2083,56.3,"2022/01/01","2022/09/30",13323
"2022/09/30","北海道","上磯郡知内町",4044,1675,41.4,"2022/01/01","2022/09/30",13331
"2022/09/30","北海道","上磯郡木古内町",3853,1565,40.6,"2022/01/01","2022/09/30",13340
"2022/09/30","北海道","亀田郡七飯町",28062,11485,40.9,"2022/01/01","2022/09/30",13374
"2022/09/30","北海道","茅部郡鹿部町",3721,1560,41.9,"2022/01/01","2022/09/30",13439
"2022/09/30","北海道","茅部郡森町",14456,5853,40.5,"2022/01/01","2022/09/30",13455
"2022/09/30","北海道","二海郡八雲町",15338,6044,39.4,"2022/01/01","2022/09/30",13463
"2022/09/30","北海道","山越郡長万部町",4953,1784,36.0,"2022/01/01","2022/09/30",13471
"2022/09/30","北海道","檜山郡江差町",7156,2962,41.4,"2022/01/01","2022/09/30",13617
"2022/09/30","北海道","檜山郡上ノ国町",4467,1562,35.0,"2022/01/01","2022/09/30",13625
"2022/09/30","北海道","檜山郡厚沢部町",3599,1409,39.1,"2022/01/01","2022/09/30",13633
"2022/09/30","北海道","爾志郡乙部町",3428,1391,40.6,"2022/01/01","2022/09/30",13641
"2022/09/30","北海道","奥尻郡奥尻町",2425,1189,49.0,"2022/01/01","2022/09/30",13676
"2022/09/30","北海道","瀬棚郡今金町",4963,2876,57.9,"2022/01/01","2022/09/30",13706
"2022/09/30","北海道","久遠郡せたな町",7368,2936,39.8,"2022/01/01","2022/09/30",13714
"2022/09/30","北海道","島牧郡島牧村",1352,553,40.9,"2022/01/01","2022/09/30",13919
"2022/09/30","北海道","寿都郡寿都町",2799,1255,44.8,"2022/01/01","2022/09/30",13927
"2022/09/30","北海道","寿都郡黒松内町",2690,1340,49.8,"2022/01/01","2022/09/30",13935
"2022/09/30","北海道","磯谷郡蘭越町",4547,1661,36.5,"2022/01/01","2022/09/30",13943
"2022/09/30","北海道","虻田郡ニセコ町",4946,2111,42.7,"2022/01/01","2022/09/30",13951
"2022/09/30","北海道","虻田郡真狩村",1951,922,47.3,"2022/01/01","2022/09/30",13960
"2022/09/30","北海道","虻田郡留寿都村",1895,1098,57.9,"2022/01/01","2022/09/30",13978
"2022/09/30","北海道","虻田郡喜茂別町",2078,767,36.9,"2022/01/01","2022/09/30",13986
"2022/09/30","北海道","虻田郡京極町",2853,1154,40.4,"2022/01/01","2022/09/30",13994
"2022/09/30","北海道","虻田郡倶知安町",14789,7189,48.6,"2022/01/01","2022/09/30",14001
"2022/09/30","北海道","岩内郡共和町",5659,3345,59.1,"2022/01/01","2022/09/30",14010
"2022/09/30","北海道","岩内郡岩内町",11658,5537,47.5,"2022/01/01","2022/09/30",14028
"2022/09/30","北海道","古宇郡泊村",1526,718,47.1,"2022/01/01","2022/09/30",14036
"2022/09/30","北海道","古宇郡神恵内村",797,314,39.4,"2022/01/01","2022/09/30",14044
"2022/09/30","北海道","積丹郡積丹町",1883,954,50.7,"2022/01/01","2022/09/30",14052
"2022/09/30","北海道","古平郡古平町",2798,1300,46.5,"2022/01/01","2022/09/30",14061
"2022/09/30","北海道","余市郡仁木町",3165,1236,39.1,"2022/01/01","2022/09/30",14079
"2022/09/30","北海道","余市郡余市町",17920,6348,35.4,"2022/01/01","2022/09/30",14087
"2022/09/30","北海道","余市郡赤井川村",1115,489,43.9,"2022/01/01","2022/09/30",14095
