"算出基準日","区分","","人口","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2020/03/01","全国","",127443563,19730752,15.5,"2019/01/01","2020/03/01"
"2020/03/01","","特別区",9486618,1994937,21.0,"2019/01/01","2020/03/01"
"2020/03/01","","政令指定都市",27488569,4552380,16.6,"2019/01/01","2020/03/01"
"2020/03/01","","市（政令指定都市を除く）",79522838,11810455,14.8,"2019/01/01","2020/03/01"
"2020/03/01","","町村",10945538,1372980,12.6,"2019/01/01","2020/03/01"
